subjID,trial,cond,frame,timestamp,refX,refY,refZ,wristX,wristY,wristZ,thumbX,thumbY,thumbZ,indexX,indexY,indexZ,trialPhase
8475,3,1,49266,164216666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49267,164220000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49268,164223333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49269,164226666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49270,164230000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49271,164233333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49272,164236666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49273,164240000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49274,164243333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49275,164246666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49276,164250000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49277,164253333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49278,164256666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49279,164260000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49280,164263333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49281,164266666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49282,164270000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49283,164273333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49284,164276666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49285,164280000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49286,164283333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49287,164286666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49288,164290000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49289,164293333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49290,164296666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49291,164300000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49292,164303333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49293,164306666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49294,164310000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49295,164313333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49296,164316666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49297,164320000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49298,164323333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49299,164326666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49300,164330000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49301,164333333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49302,164336666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49303,164340000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49304,164343333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49305,164346666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49306,164350000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49307,164353333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49308,164356666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49309,164360000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49310,164363333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49311,164366666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49312,164370000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49313,164373333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49314,164376666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49315,164380000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49316,164383333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49317,164386666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49318,164390000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49319,164393333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49320,164396666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49321,164400000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49322,164403333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49323,164406666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49324,164410000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49325,164413333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49326,164416666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49327,164420000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49328,164423333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49329,164426666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49330,164430000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49331,164433333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49332,164436666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49333,164440000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49334,164443333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49335,164446666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49336,164450000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49337,164453333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49338,164456666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49339,164460000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49340,164463333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49341,164466666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49342,164470000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49343,164473333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49344,164476666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49345,164480000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49346,164483333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49347,164486666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49348,164490000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49349,164493333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49350,164496666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49351,164500000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49352,164503333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49353,164506666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49354,164510000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49355,164513333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49356,164516666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49357,164520000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49358,164523333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49359,164526666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49360,164530000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49361,164533333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49362,164536666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49363,164540000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49364,164543333,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49365,164546666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49366,164550000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49367,164553333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49368,164556666,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49369,164560000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49370,164563333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49371,164566666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49372,164570000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49373,164573333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49374,164576666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49375,164580000,0,906,37,0,340,51,0,424,18,54,374,18,1
8475,3,1,49376,164583333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49377,164586666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49378,164590000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49379,164593333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49380,164596666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49381,164600000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49382,164603333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49383,164606666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49384,164610000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49385,164613333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49386,164616666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49387,164620000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49388,164623333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49389,164626666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49390,164630000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49391,164633333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49392,164636666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49393,164640000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49394,164643333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49395,164646666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49396,164650000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49397,164653333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49398,164656666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49399,164660000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49400,164663333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49401,164666666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49402,164670000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49403,164673333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49404,164676666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49405,164680000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49406,164683333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49407,164686666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49408,164690000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49409,164693333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49410,164696666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49411,164700000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49412,164703333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49413,164706666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49414,164710000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49415,164713333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49416,164716666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49417,164720000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49418,164723333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49419,164726666,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49420,164730000,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49421,164733333,0,906,37,0,341,51,0,424,18,54,374,18,1
8475,3,1,49422,164736666,0,906,37,0,341,51,0,424,18,54,374,18,1
