NO_OF_FRAMES	4573
NO_OF_CAMERAS	9
NO_OF_MARKERS	1
FREQUENCY	300
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-11-03, 13:00:01.016	11090.89047180
DATA_INCLUDED	3D
MARKER_NAMES	pen
TRAJECTORY_TYPES	Measured
683	2.27333	355.625	717.574	47.988
684	2.27667	354.622	717.582	47.828
685	2.28000	353.663	717.645	47.620
686	2.28333	352.654	717.691	47.411
687	2.28667	351.647	717.718	47.253
688	2.29000	350.651	717.728	47.076
689	2.29333	349.700	717.702	46.830
690	2.29667	348.682	717.736	46.663
691	2.30000	347.681	717.712	46.504
692	2.30333	346.683	717.714	46.288
693	2.30667	345.717	717.711	46.101
694	2.31000	344.675	717.673	45.923
695	2.31333	343.670	717.704	45.764
696	2.31667	342.724	717.640	45.523
697	2.32000	341.688	717.622	45.324
698	2.32333	340.697	717.644	45.198
699	2.32667	339.638	717.611	45.003
700	2.33000	338.661	717.598	44.832
701	2.33333	337.613	717.516	44.698
702	2.33667	336.582	717.513	44.555
703	2.34000	335.628	717.501	44.413
704	2.34333	334.533	717.451	44.305
705	2.34667	333.503	717.435	44.217
706	2.35000	332.492	717.421	44.106
707	2.35333	331.418	717.373	44.065
708	2.35667	330.361	717.385	44.014
709	2.36000	329.350	717.303	43.933
710	2.36333	328.275	717.243	43.932
711	2.36667	327.276	717.179	43.895
712	2.37000	326.194	717.171	43.880
713	2.37333	325.127	717.134	43.883
714	2.37667	324.102	717.054	43.862
715	2.38000	323.050	716.961	43.880
716	2.38333	321.990	716.967	43.883
717	2.38667	320.984	716.838	43.846
718	2.39000	319.902	716.758	43.886
719	2.39333	318.887	716.691	43.813
720	2.39667	317.802	716.640	43.823
721	2.40000	316.752	716.573	43.800
722	2.40333	315.676	716.544	43.747
723	2.40667	314.612	716.431	43.743
724	2.41000	313.543	716.397	43.706
725	2.41333	312.454	716.280	43.654
726	2.41667	311.331	716.225	43.686
727	2.42000	310.287	716.129	43.601
728	2.42333	309.113	716.065	43.616
729	2.42667	308.013	716.028	43.640
730	2.43000	306.880	715.975	43.624
731	2.43333	305.701	715.870	43.649
732	2.43667	304.646	715.798	43.667
733	2.44000	303.425	715.740	43.744
734	2.44333	302.350	715.619	43.725
735	2.44667	301.176	715.558	43.855
736	2.45000	300.047	715.431	43.869
737	2.45333	298.899	715.387	43.972
738	2.45667	297.763	715.318	44.060
739	2.46000	296.627	715.209	44.108
740	2.46333	295.482	715.167	44.247
741	2.46667	294.410	715.041	44.346
742	2.47000	293.218	714.979	44.468
743	2.47333	292.123	714.884	44.535
744	2.47667	290.974	714.796	44.715
745	2.48000	289.890	714.687	44.753
